baro_valid,baro_z,gps_valid,gps_x,gps_y,gps_z,imu_ax,imu_ay,imu_az,time_s
0.0,nan,0.0,nan,nan,nan,-0.42503818528106246,-0.3469975874212621,0.10385582535033064,22.5
0.0,nan,0.0,nan,nan,nan,-0.39210474051343497,-0.2964660442484476,0.14498944402059316,22.55
1.0,128.2261548002306,0.0,nan,nan,nan,-0.30679014710312713,-0.2203972376905286,0.0965457900373379,22.6
0.0,nan,0.0,nan,nan,nan,-0.30567803605910726,-0.26654488323775705,0.14435491070016365,22.65
0.0,nan,0.0,nan,nan,nan,-0.4117775787142964,-0.3165033385222365,0.11732540379248955,22.7
0.0,nan,0.0,nan,nan,nan,-0.2987771005346104,-0.3345295182045142,0.13185243534456714,22.75
1.0,126.6369028653182,0.0,nan,nan,nan,-0.3431408688270638,-0.2549415789364019,0.1017837362803504,22.8
0.0,nan,0.0,nan,nan,nan,-0.3192998085391335,-0.33640799816290806,0.15024520167422722,22.85
0.0,nan,0.0,nan,nan,nan,-0.3483111344517684,-0.3041948079728483,0.2032204800184193,22.9
0.0,nan,0.0,nan,nan,nan,-0.344103356306482,-0.29509026043223474,0.09294401058086438,22.95
1.0,127.34868037583237,1.0,500.59997500186284,57.9596173819435,130.02119677186167,-0.357474235720667,-0.3459789521543448,0.1472187372506658,23.0
0.0,nan,0.0,nan,nan,nan,-0.339182740942057,-0.2645342185082011,0.08209146056139027,23.05
0.0,nan,0.0,nan,nan,nan,-0.30948574281058133,-0.2715507204340045,0.078639952081117,23.1
0.0,nan,0.0,nan,nan,nan,-0.3384276555512651,-0.29455863623981543,0.13587250067940151,23.15
1.0,127.54351981659563,0.0,nan,nan,nan,-0.3999591458995312,-0.23712887772615554,0.13779500773965733,23.2
0.0,nan,0.0,nan,nan,nan,-0.29308423073637324,-0.20918368902233608,0.07568144243221196,23.25
0.0,nan,0.0,nan,nan,nan,-0.362393380799668,-0.27411705362167027,0.09288815096629897,23.3
0.0,nan,0.0,nan,nan,nan,-0.32563718844724504,-0.22390149924481614,0.08561896173758371,23.35
1.0,126.31947452006878,0.0,nan,nan,nan,-0.352327587430601,-0.3659802120007988,0.17615964451037763,23.4
0.0,nan,0.0,nan,nan,nan,-0.28998283193868024,-0.23585385502070635,0.17141657635142282,23.45
0.0,nan,0.0,nan,nan,nan,-0.31522484198960804,-0.1799571593501772,0.1675200514649549,23.5
0.0,nan,0.0,nan,nan,nan,-0.3650380790973744,-0.36150769679228006,0.13339673506137745,23.55
1.0,125.90695037917776,0.0,nan,nan,nan,-0.3749821682166502,-0.2450284525055297,0.1715096848803348,23.6
0.0,nan,0.0,nan,nan,nan,-0.29546345159990706,-0.28859439835111234,0.18924056845435763,23.65
0.0,nan,0.0,nan,nan,nan,-0.36089771496625206,-0.24164668774110232,0.17184402186832523,23.7
0.0,nan,0.0,nan,nan,nan,-0.2798598251385056,-0.19733420885198555,0.11054756221949949,23.75
1.0,127.68031122096012,0.0,nan,nan,nan,-0.29214289919170533,-0.2619796654331578,0.23602666949265716,23.8
0.0,nan,0.0,nan,nan,nan,-0.28684998185943444,-0.29570254209781704,0.1329352435182744,23.85
0.0,nan,0.0,nan,nan,nan,-0.3057665225257744,-0.19100322323962887,0.15369850038211513,23.9
0.0,nan,0.0,nan,nan,nan,-0.295264969667688,-0.20835793127012092,0.18241024749956347,23.95
1.0,125.81474919105428,1.0,522.4718335301228,57.81276505755206,126.51635208383131,-0.3149850024041792,-0.2370248602946164,0.1461013176868865,24.0
0.0,nan,0.0,nan,nan,nan,-0.3666685290197805,-0.2138967682818528,0.1743892006568288,24.05
0.0,nan,0.0,nan,nan,nan,-0.24877964086728407,-0.2926834796108193,0.2614044920168033,24.1
0.0,nan,0.0,nan,nan,nan,-0.29327513660119076,-0.24431323500277616,0.11677249799159367,24.15
1.0,126.57528264245083,0.0,nan,nan,nan,-0.3004587100271254,-0.20339630185004487,0.17645748441307113,24.2
0.0,nan,0.0,nan,nan,nan,-0.2601459102379939,-0.24798086047591028,0.2181570986445205,24.25
0.0,nan,0.0,nan,nan,nan,-0.2646959064009385,-0.18891461180461364,0.13067111113412821,24.3
0.0,nan,0.0,nan,nan,nan,-0.35966747202625504,-0.2058941170545198,0.22212302913234355,24.35
1.0,126.44219462201586,0.0,nan,nan,nan,-0.3419042575070777,-0.2842167878873719,0.19491579455994693,24.4
0.0,nan,0.0,nan,nan,nan,-0.2414644279050357,-0.2008851793356804,0.1740516475662916,24.45
0.0,nan,0.0,nan,nan,nan,-0.22412093860255933,-0.18063260178175083,0.21041390684400588,24.5
0.0,nan,0.0,nan,nan,nan,-0.28671833792262374,-0.1790331612657356,0.16587901547458977,24.55
1.0,126.8639233944192,0.0,nan,nan,nan,-0.3036911959435281,-0.24321535817612608,0.18773530689515633,24.6
